id,duration,journey_id,updated_at,,,created_at,,,,,,start_longitude,start_latitude,end_longitude,end_latitude,trip_dist,,,,,,,
14904,660,571,09/03/2020 11:49,,,09/03/2020 11:49,,,,,,0.057914,51.636945,0.057914,51.636945,1368.741145,,,,,,,
14925,2160,572,09/03/2020 11:59,,,09/03/2020 11:59,,,,,,-0.100429,51.504815,-0.100411,51.50481,4568.867719,,,,,,,
14938,2040,573,09/03/2020 12:03,,,09/03/2020 12:03,,,,,,-0.099327,51.515733,-0.099327,51.515733,0,,,,,,,
14943,4020,574,09/03/2020 12:05,,,09/03/2020 12:05,,,,,,-0.100411,51.504812,-0.100411,51.50481,342.0790639,,,,,,,
14947,1140,575,09/03/2020 12:06,,,09/03/2020 12:06,,,,,,-0.100411,51.504812,-0.100411,51.50481,1746.726826,,,,,,,
14953,1860,576,09/03/2020 12:08,,,09/03/2020 12:08,,,,,,-0.100411,51.504812,-0.100411,51.504812,0,,,,,,,
14954,1860,577,09/03/2020 12:08,,,09/03/2020 12:08,,,,,,-0.100411,51.504812,-0.100411,51.504812,0,,,,,,,
14956,3120,578,09/03/2020 12:08,,,09/03/2020 12:08,,,,,,-0.100411,51.504812,-0.100411,51.50481,3049.108198,,,,,,,
14960,4800,579,09/03/2020 12:09,,,09/03/2020 12:09,,,,,,-0.100411,51.504812,-0.100408,51.504818,0,,,,,,,
14961,660,580,09/03/2020 12:09,,,09/03/2020 12:09,,,,,,-0.129838,51.529337,-0.129838,51.529337,1461.695041,,,,,,,
15030,2520,581,09/03/2020 12:28,,,09/03/2020 12:28,,,,,,-0.100338,51.504827,-0.100546,51.505077,0,,,,,,,
15031,1200,582,09/03/2020 12:28,,,09/03/2020 12:28,,,,,,-0.128136,51.578474,-0.116182,51.556465,4870.470628,,,,,,,
15106,2520,583,09/03/2020 12:40,,,09/03/2020 12:40,,,,,,-0.218097,51.46109,-0.218097,51.46109,0,,,,,,,
15203,3780,584,09/03/2020 12:53,,,09/03/2020 12:53,,,,,,-0.081286,51.531489,-0.081286,51.531489,0,,,,,,,
15267,3000,585,09/03/2020 13:03,,,09/03/2020 13:03,,,,,,-0.100546,51.505078,-0.10143,51.50626,0,,,,,,,
15314,1200,586,09/03/2020 13:11,,,09/03/2020 13:11,,,,,,-0.245669,51.503978,-0.245669,51.503978,1746.726826,,,,,,,
15345,840,587,09/03/2020 13:18,,,09/03/2020 13:18,,,,,,-0.321276,51.578014,-0.321276,51.578014,2848.604417,,,,,,,
15349,720,588,09/03/2020 13:19,,,09/03/2020 13:19,,,,,,-0.10143,51.506259,-0.10143,51.506259,1567.827771,,,,,,,
15353,1140,589,09/03/2020 13:21,,,09/03/2020 13:21,,,,,,-0.078998,51.488629,-0.078998,51.488629,2930.934769,,,,,,,
15394,1740,590,09/03/2020 13:40,,,09/03/2020 13:40,,,,,,-0.410941,51.703266,-0.410941,51.703266,0,,,,,,,
15415,660,591,09/03/2020 13:46,,,09/03/2020 13:46,,,,,,-0.100412,51.504811,-0.100412,51.504811,1919.668911,,,,,,,
