group,id,journey_id,start_latitude,start_longitude,created_at,,updated_at_rn,,Trip_Length,group,id,journey_id,start_latitude,start_longitude,created_at,,updated_at_rn,,Trip_Length,group,id,journey_id,start_latitude,start_longitude,created_at,,updated_at_rn,,Trip_Length,,
1,13172,494,51.504811,-0.100421,06/03/2020 00:00,15:42:00,06/03/2020 00:00,15:42:00,00:00:00,2,16439,663,51.504814,-0.100409,10/03/2020 00:00,16:47:00,10/03/2020 00:00,16:47:00,00:00:00,3,18965,863,51.503053,-0.247217,14/03/2020 00:00,17:16:00,14/03/2020 00:00,17:16:00,00:00:00,,
1,13173,495,51.538129,0.001607,06/03/2020 00:00,15:44:00,06/03/2020 00:00,16:45:00,01:01:00,2,16440,664,51.504814,-0.100409,10/03/2020 00:00,16:47:00,10/03/2020 00:00,16:48:00,00:01:00,3,18974,864,51.535314,-0.134998,14/03/2020 00:00,17:25:00,14/03/2020 00:00,17:25:00,00:00:00,,
1,13174,496,51.504811,-0.100421,06/03/2020 00:00,15:45:00,06/03/2020 00:00,15:45:00,00:00:00,2,16442,665,51.504814,-0.100409,10/03/2020 00:00,16:48:00,10/03/2020 00:00,16:48:00,00:00:00,3,18976,865,51.535314,-0.134998,14/03/2020 00:00,17:26:00,14/03/2020 00:00,17:28:00,00:02:00,,
1,13181,497,51.505172,-0.020111,06/03/2020 00:00,15:50:00,06/03/2020 00:00,16:35:00,00:45:00,2,16443,666,51.504814,-0.100409,10/03/2020 00:00,16:49:00,10/03/2020 00:00,16:49:00,00:00:00,3,18993,866,51.493506,-0.239247,14/03/2020 00:00,17:31:00,14/03/2020 00:00,17:31:00,00:00:00,,
1,13201,498,51.535789,-0.140152,06/03/2020 00:00,16:09:00,06/03/2020 00:00,17:18:00,01:09:00,2,16444,667,51.504814,-0.100409,10/03/2020 00:00,16:49:00,10/03/2020 00:00,16:49:00,00:00:00,3,19000,867,51.535312,-0.134999,14/03/2020 00:00,17:32:00,14/03/2020 00:00,17:32:00,00:00:00,,
1,13307,499,51.504812,-0.100411,06/03/2020 00:00,16:58:00,06/03/2020 00:00,17:03:00,00:05:00,2,16445,668,51.504814,-0.100409,10/03/2020 00:00,16:50:00,10/03/2020 00:00,16:50:00,00:00:00,3,19118,868,51.371885,-0.119093,14/03/2020 00:00,18:07:00,14/03/2020 00:00,18:07:00,00:00:00,,
1,13310,500,51.504993,-0.1004,06/03/2020 00:00,16:59:00,06/03/2020 00:00,16:59:00,00:00:00,2,16446,669,51.504814,-0.100409,10/03/2020 00:00,16:50:00,10/03/2020 00:00,16:50:00,00:00:00,3,19123,869,51.45958,-0.140802,14/03/2020 00:00,18:10:00,14/03/2020 00:00,18:12:00,00:02:00,,
1,13341,501,51.497695,-0.077465,06/03/2020 00:00,17:49:00,06/03/2020 00:00,17:50:00,00:01:00,2,16447,670,51.504814,-0.100409,10/03/2020 00:00,16:50:00,10/03/2020 00:00,16:50:00,00:00:00,3,19218,870,51.596625,-0.398932,14/03/2020 00:00,18:50:00,14/03/2020 00:00,19:14:00,00:24:00,,
1,13343,502,51.474189,-0.182921,06/03/2020 00:00,18:05:00,06/03/2020 00:00,18:05:00,00:00:00,2,16448,671,51.504814,-0.100409,10/03/2020 00:00,16:51:00,10/03/2020 00:00,16:51:00,00:00:00,3,19290,871,51.530872,-0.085283,14/03/2020 00:00,19:37:00,14/03/2020 00:00,19:37:00,00:00:00,,
1,13344,503,51.531702,-0.075531,06/03/2020 00:00,18:55:00,06/03/2020 00:00,19:42:00,00:47:00,2,16450,672,51.522412,-0.100095,10/03/2020 00:00,16:52:00,10/03/2020 00:00,16:52:00,00:00:00,3,19320,872,51.4952,-0.098893,14/03/2020 00:00,19:59:00,14/03/2020 00:00,19:59:00,00:00:00,,
1,13406,504,51.474196,-0.182934,06/03/2020 00:00,19:37:00,06/03/2020 00:00,20:26:00,00:49:00,2,16451,673,51.595113,-0.143173,10/03/2020 00:00,17:01:00,10/03/2020 00:00,17:01:00,00:00:00,3,19327,873,51.461919,-0.117425,14/03/2020 00:00,20:06:00,14/03/2020 00:00,20:40:00,00:34:00,,
1,13430,505,51.511515,-0.071962,06/03/2020 00:00,20:59:00,06/03/2020 00:00,21:41:00,00:42:00,2,16452,674,51.540024,-0.141557,10/03/2020 00:00,17:04:00,10/03/2020 00:00,17:04:00,00:00:00,3,19351,874,51.533465,-0.1065,14/03/2020 00:00,20:52:00,14/03/2020 00:00,20:52:00,00:00:00,,
